Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VN30,1137.97,02/01/2024,09:15:56,1135.49,1138.19,1135.49,1137.97,919400
VN30,1137.95,02/01/2024,09:16:56,1137.79,1138.98,1137.74,1137.95,883300
VN30,1138.40,02/01/2024,09:17:56,1137.86,1138.74,1137.75,1138.40,745900
VN30,1138.16,02/01/2024,09:18:56,1138.17,1138.81,1138.05,1138.16,625800
VN30,1138.18,02/01/2024,09:19:56,1138.10,1138.59,1137.99,1138.18,811100
VN30,1138.16,02/01/2024,09:20:56,1138.06,1138.37,1137.76,1138.16,533100
VN30,1139.07,02/01/2024,09:21:56,1138.21,1139.23,1137.74,1139.07,717100
VN30,1138.77,02/01/2024,09:22:56,1138.70,1138.83,1138.31,1138.77,557600
VN30,1137.64,02/01/2024,09:23:56,1138.62,1138.62,1137.64,1137.64,712300
VN30,1137.33,02/01/2024,09:24:56,1137.43,1137.74,1137.23,1137.33,374600
VN30,1137.27,02/01/2024,09:25:56,1136.76,1137.81,1136.55,1137.27,625700
VN30,1136.99,02/01/2024,09:26:56,1137.27,1137.42,1136.97,1136.99,309000
VN30,1137.03,02/01/2024,09:27:56,1137.19,1137.26,1136.82,1137.03,420600
VN30,1136.60,02/01/2024,09:28:56,1136.68,1137.02,1136.60,1136.60,792100
VN30,1136.77,02/01/2024,09:29:56,1136.65,1136.94,1136.51,1136.77,563200
VN30,1136.39,02/01/2024,09:30:56,1136.63,1136.89,1136.39,1136.39,557600
VN30,1136.12,02/01/2024,09:31:56,1136.28,1136.68,1136.11,1136.12,800100
VN30,1136.82,02/01/2024,09:32:56,1136.20,1137.21,1136.06,1136.82,553500
VN30,1136.92,02/01/2024,09:33:56,1136.53,1137.07,1136.39,1136.92,440600
VN30,1137.15,02/01/2024,09:34:56,1137.02,1137.49,1136.97,1137.15,351800
VN30,1137.24,02/01/2024,09:35:56,1137.09,1137.30,1136.79,1137.24,591500
VN30,1137,02/01/2024,09:36:56,1137.34,1137.34,1136.54,1137,301100
VN30,1136.92,02/01/2024,09:37:56,1136.96,1137.43,1136.92,1136.92,245300
VN30,1137,02/01/2024,09:38:56,1136.98,1137.11,1136.80,1137,274400
VN30,1137.44,02/01/2024,09:39:56,1137.05,1137.60,1137.05,1137.44,389800
VN30,1137.59,02/01/2024,09:40:56,1137.66,1137.98,1137.43,1137.59,956500
VN30,1137.73,02/01/2024,09:41:57,1137.59,1137.73,1137.40,1137.73,476200
VN30,1137.81,02/01/2024,09:42:57,1137.49,1137.81,1137.49,1137.81,367700
VN30,1137.31,02/01/2024,09:43:57,1137.61,1137.61,1137.24,1137.31,581600
VN30,1137.52,02/01/2024,09:44:57,1137.31,1137.58,1137.26,1137.52,880900
VN30,1137.36,02/01/2024,09:45:57,1137.52,1137.71,1137.12,1137.36,662000
VN30,1137.43,02/01/2024,09:46:57,1137.09,1137.55,1137,1137.43,1122300
VN30,1137.53,02/01/2024,09:47:57,1137.36,1137.62,1137.18,1137.53,557200
VN30,1137.90,02/01/2024,09:48:57,1137.52,1138.05,1137.42,1137.90,794400
VN30,1138.06,02/01/2024,09:49:57,1137.88,1138.46,1137.76,1138.06,775700
VN30,1138.62,02/01/2024,09:50:57,1138.26,1138.62,1138.10,1138.62,358800
VN30,1138.85,02/01/2024,09:51:57,1138.76,1138.90,1138.44,1138.85,1033500
VN30,1139.25,02/01/2024,09:52:57,1138.90,1139.25,1138.78,1139.25,1085500
VN30,1139.58,02/01/2024,09:53:57,1138.94,1139.58,1138.94,1139.58,964700
VN30,1139.60,02/01/2024,09:54:57,1139.51,1139.63,1139.36,1139.60,998700
VN30,1139.74,02/01/2024,09:55:57,1139.33,1139.96,1139.21,1139.74,1236900
VN30,1139.46,02/01/2024,09:56:57,1139.71,1139.74,1139.28,1139.46,1124900
VN30,1139.35,02/01/2024,09:57:57,1139.25,1139.65,1139.20,1139.35,957000
VN30,1139.63,02/01/2024,09:58:57,1139.44,1139.70,1139.16,1139.63,786100
VN30,1139.77,02/01/2024,09:59:57,1139.67,1139.90,1139.43,1139.77,534000
VN30,1139.69,02/01/2024,10:00:57,1139.61,1139.92,1139.55,1139.69,735600
VN30,1139.58,02/01/2024,10:01:57,1139.56,1139.80,1139.42,1139.58,827300
VN30,1139.59,02/01/2024,10:02:57,1139.44,1139.97,1139.44,1139.59,529300
VN30,1139.52,02/01/2024,10:03:57,1139.86,1139.92,1139.21,1139.52,699500
VN30,1139.20,02/01/2024,10:04:57,1139.32,1139.46,1139.14,1139.20,551700
VN30,1139.12,02/01/2024,10:05:57,1139.37,1139.67,1139.05,1139.12,952400
VN30,1139.34,02/01/2024,10:06:57,1139.23,1139.75,1139.22,1139.34,805100
VN30,1139.15,02/01/2024,10:07:57,1139.21,1139.37,1139.03,1139.15,572800
VN30,1139.14,02/01/2024,10:08:57,1139.19,1139.51,1139.10,1139.14,542800
VN30,1139.27,02/01/2024,10:09:57,1138.98,1139.45,1138.98,1139.27,384800
VN30,1138.71,02/01/2024,10:10:57,1139.27,1139.27,1138.08,1138.71,536200
VN30,1138.70,02/01/2024,10:11:57,1138.66,1138.93,1138.31,1138.70,742500
VN30,1139.05,02/01/2024,10:12:57,1138.70,1139.17,1138.70,1139.05,1988300
VN30,1138.56,02/01/2024,10:13:57,1139.05,1139.22,1138.47,1138.56,741300
VN30,1138.35,02/01/2024,10:14:57,1138.47,1138.48,1138.27,1138.35,385800
VN30,1138.53,02/01/2024,10:15:57,1138.35,1138.64,1138.35,1138.53,362500
VN30,1138.88,02/01/2024,10:16:57,1138.48,1139.10,1138.29,1138.88,234100
VN30,1138.95,02/01/2024,10:17:57,1138.74,1138.95,1138.64,1138.95,1095600
VN30,1139.07,02/01/2024,10:18:57,1138.88,1139.26,1138.54,1139.07,3213900
VN30,1139.27,02/01/2024,10:19:57,1138.90,1139.27,1138.80,1139.27,1713900
VN30,1139.49,02/01/2024,10:20:57,1139.22,1139.71,1139.11,1139.49,1125600
VN30,1139.85,02/01/2024,10:21:57,1139.49,1139.85,1139.40,1139.85,565100
VN30,1139.52,02/01/2024,10:22:57,1139.80,1140.11,1139.42,1139.52,1134000
VN30,1139.42,02/01/2024,10:23:57,1139.19,1139.60,1139.19,1139.42,776500
VN30,1139.79,02/01/2024,10:24:57,1139.15,1139.85,1139.15,1139.79,1399400
VN30,1139.49,02/01/2024,10:25:57,1139.63,1139.66,1139.29,1139.49,563900
VN30,1139.57,02/01/2024,10:26:57,1139.57,1139.70,1139.35,1139.57,901800
VN30,1139.67,02/01/2024,10:27:57,1139.33,1139.86,1139.33,1139.67,670800
VN30,1139.67,02/01/2024,10:28:57,1139.62,1140.06,1139.62,1139.67,1208200
VN30,1139.51,02/01/2024,10:29:57,1139.73,1139.84,1139.51,1139.51,805700
VN30,1139.67,02/01/2024,10:30:58,1139.64,1140.03,1139.43,1139.67,448900
VN30,1137.95,02/01/2024,10:31:58,1139.66,1139.69,1137.95,1137.95,1131800
VN30,1138.55,02/01/2024,10:32:58,1138.04,1138.97,1137.86,1138.55,1371200
VN30,1138.06,02/01/2024,10:33:58,1138.25,1138.68,1137.95,1138.06,984800
